chapter,section,article,content,links,coverage
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 78,Confidentiality,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-78,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 79,Procedure at national level for dealing with AI systems presenting a risk,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-79,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 80,Procedure for dealing with AI systems classified by the provider as non-high-risk in application of Annex III,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-80,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 81,Union safeguard procedure,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-81,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 82,Compliant AI systems which present a risk,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-82,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 83,Formal non-compliance,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-83,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 84,Union AI testing support structures,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-84,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 4: Remedies,Article 85,Right to lodge a complaint with a market surveillance authority,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-85,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 4: Remedies,Article 86,Right to explanation of individual decision-making,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-86,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 4: Remedies,Article 87,Reporting of infringements and protection of reporting persons,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-87,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance","Section 5: Supervision, Investigation, Enforcement and Monitoring in Respect of Providers of General-Purpose AI Models",Article 88,Enforcement of the obligations of providers of general-purpose AI models,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-88,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance","Section 5: Supervision, Investigation, Enforcement and Monitoring in Respect of Providers of General-Purpose AI Models",Article 89,Monitoring actions,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-89,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance","Section 5: Supervision, Investigation, Enforcement and Monitoring in Respect of Providers of General-Purpose AI Models",Article 90,Alerts of systemic risks by the scientific panel,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-90,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance","Section 5: Supervision, Investigation, Enforcement and Monitoring in Respect of Providers of General-Purpose AI Models",Article 91,Power to request documentation and information,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-91,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance","Section 5: Supervision, Investigation, Enforcement and Monitoring in Respect of Providers of General-Purpose AI Models",Article 92,Power to conduct evaluations,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-92,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance","Section 5: Supervision, Investigation, Enforcement and Monitoring in Respect of Providers of General-Purpose AI Models",Article 93,Power to request measures,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-93,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance","Section 5: Supervision, Investigation, Enforcement and Monitoring in Respect of Providers of General-Purpose AI Models",Article 94,Procedural rights of economic operators of the general-purpose AI model,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-94,all-obligations
Chapter X: Codes of Conduct and Guidelines,,Article 95,Codes of conduct for voluntary application of specific requirements,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-95,all-obligations
Chapter X: Codes of Conduct and Guidelines,,Article 96,Guidelines from the Commission on the implementation of this Regulation,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-96,all-obligations
Chapter XI: Delegation of Power and Committee Procedure,,Article 97,Exercise of the delegation,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-97,all-obligations
Chapter XI: Delegation of Power and Committee Procedure,,Article 98,Committee procedure,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-98,all-obligations
Chapter XII: Penalties,,Article 99,Penalties,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-99,all-obligations
Chapter XII: Penalties,,Article 100,"Administrative fines on Union institutions, bodies, offices and agencies",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-100,all-obligations
Chapter XII: Penalties,,Article 101,Fines for providers of general-purpose AI models,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-101,all-obligations
Chapter XIII: Final Provisions,,Article 102,Amendment to Regulation (EC) No 300/2008,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-102,all-obligations
Chapter XIII: Final Provisions,,Article 103,Amendment to Regulation (EU) No 167/2013,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-103,all-obligations
Chapter XIII: Final Provisions,,Article 104,Amendment to Regulation (EU) No 168/2013,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-104,all-obligations
Chapter XIII: Final Provisions,,Article 105,Amendment to Directive 2014/90/EU,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-105,all-obligations
Chapter XIII: Final Provisions,,Article 106,Amendment to Directive (EU) 2016/797,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-106,all-obligations
Chapter XIII: Final Provisions,,Article 107,Amendment to Regulation (EU) 2018/858,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-107,all-obligations
Chapter XIII: Final Provisions,,Article 108,Amendments to Regulation (EU) 2018/1139,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-108,all-obligations
Chapter XIII: Final Provisions,,Article 109,Amendment to Regulation (EU) 2019/2144,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-109,all-obligations
Chapter XIII: Final Provisions,,Article 110,Amendment to Directive (EU) 2020/1828,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-110,all-obligations
Chapter XIII: Final Provisions,,Article 111,AI systems already placed on the market or put into service and general-purpose AI models already placed on the market,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-111,all-obligations
Chapter XIII: Final Provisions,,Article 112,Evaluation and review,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-112,all-obligations
Chapter XIII: Final Provisions,,Article 113,Entry into force and application,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113,all-obligations
Annexes,,Annex I,Section A. List of Union harmonisation legislation based on the New Legislative Framework,https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-1,all-obligations
Annexes,,Annex II,"Criminal offences referred to in Article 5(1), first subparagraph, point (h)(iii):",https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-2,all-obligations
Annexes,,Annex III,High-risk AI systems pursuant to Article 6(2) are the AI systems listed in any of the following areas:,https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-3,all-obligations
Annexes,,Annex IV,"The technical documentation referred to in Article 11(1) shall contain at least the following information, as applicable to the relevant AI system:",https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-4,all-obligations
Annexes,,Annex V,"The EU declaration of conformity referred to in Article 47, shall contain all of the following information:",https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-5,all-obligations
Annexes,,Annex VI,"1. The conformity assessment procedure based on internal control is the conformity assessment procedure based on points 2, 3 and 4.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-6,all-obligations
Annexes,,Annex VII,1. Introduction,https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-7,all-obligations
Annexes,,Annex VIII,Section A - Information to be submitted by providers of high-risk AI systems in accordance with Article 49(1),https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-8,all-obligations
Annexes,,Annex IX,The following information shall be provided and thereafter kept up to date with regard to testing in real world conditions to be registered in accordance with Article 60:,https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-9,all-obligations
Annexes,,Annex X,1. Schengen Information System,https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-10,all-obligations
Annexes,,Annex XI,Section 1,https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-11,all-obligations
Annexes,,Annex XII,"The information referred to in Article 53(1), point (b) shall contain at least the following:",https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-12,all-obligations
Annexes,,Annex XIII,"For the purpose of determining that a general-purpose AI model has capabilities or an impact equivalent to those set out in Article 51(1), point (a), the Commission shall take into account the following criteria:",https://ai-act-service-desk.ec.europa.eu/en/ai-act/annex-13,all-obligations
Chapter III: High-Risk AI Systems,Section 1: Classification of AI Systems as High-Risk,Article 6,Classification rules for high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-6,high-risk obligations
Chapter III: High-Risk AI Systems,Section 1: Classification of AI Systems as High-Risk,Article 7,Amendments to Annex III,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-7,high-risk obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 8,Compliance with the requirements,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-8,high-risk obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 9,Risk management system,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-9,high-risk obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 10,Data and data governance,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-10,high-risk obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 11,Technical documentation,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-11,high-risk obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 12,Record-keeping,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-12,high-risk obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 13,Transparency and provision of information to deployers,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-13,high-risk obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 14,Human oversight,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-14,high-risk obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 15,"Accuracy, robustness and cybersecurity",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-15,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 16,Obligations of providers of high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-16,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 17,Quality management system,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-17,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 18,Documentation keeping,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-18,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 19,Automatically generated logs,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-19,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 20,Corrective actions and duty of information,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-20,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 21,Cooperation with competent authorities,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-21,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 22,Authorised representatives of providers of high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-22,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 23,Obligations of importers,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-23,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 24,Obligations of distributors,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-24,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 25,Responsibilities along the AI value chain,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-25,high-risk obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 26,Obligations of deployers of high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-26,high-risk obligations
